cardId,cardName,set,setCode,cardNumber,snkrdunkProductId,snkrdunkName
"pc-pokemon-japanese-mega-brave-premium-power-pro-58","Premium Power Pro #58","Japanese Mega Brave","M1L","","628160","Power Protein U [M1L 058/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-raboot-16","Raboot #16","Japanese Mega Brave","M1L","","639909","Raboot C [M1L 016/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-riolu-28","Riolu #28","Japanese Mega Brave","M1L","","628158","Riolu C [M1L 028/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-riolu-68","Riolu #68","Japanese Mega Brave","M1L","","641578","Riolu AR [M1L 068/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-scorbunny-15","Scorbunny #15","Japanese Mega Brave","M1L","","639908","Scorbunny C [M1L 015/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-vulpix-10","Vulpix #10","Japanese Mega Brave","M1L","","628154","Vulpix C [M1L 010/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-symphonia-drizzile-22","Drizzile #22","Japanese Mega Symphonia","M1s","","628164","Drizzile C [M1S 022/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-inteleon-23","Inteleon #23","Japanese Mega Symphonia","M1s","","628165","Inteleon U [M1S 023/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-kirlia-41","Kirlia #41","Japanese Mega Symphonia","M1s","","628168","Kirlia C [M1S 041/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-latios-50","Latios #50","Japanese Mega Symphonia","M1s","","628171","Latios U [M1S 050/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-mega-gardevoir-ex-42","Mega Gardevoir ex #42","Japanese Mega Symphonia","M1s","","628169","MEGA Gardevoir ex RR [M1S 042/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-mega-latias-ex-49","Mega Latias ex #49","Japanese Mega Symphonia","M1s","","628170","MEGA Latias ex RR [M1S 049/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-mega-signal-58","Mega Signal #58","Japanese Mega Symphonia","M1s","","628172","Mega Signal U [M1S 058/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-mystery-garden-63","Mystery Garden #63","Japanese Mega Symphonia","M1s","","628174","Mystery Garden U [M1S 063/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-nincada-7","Nincada #7","Japanese Mega Symphonia","M1s","","643092","Nincada C [M1S 007/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-ninjask-8","Ninjask #8","Japanese Mega Symphonia","M1s","","643093","Ninjask U [M1S 008/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-pachirisu-33","Pachirisu #33","Japanese Mega Symphonia","M1s","","628166","Pachirisu C [M1S 033/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-ralts-40","Ralts #40","Japanese Mega Symphonia","M1s","","628167","Ralts C [M1S 040/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-rare-candy-82","Rare Candy #82","Japanese Mega Symphonia","M1s","","628175","Rare Candy SR [M1S 082/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-shedinja-43","Shedinja #43","Japanese Mega Symphonia","M1s","","643094","Shedinja U [M1S 043/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-sobble-21","Sobble #21","Japanese Mega Symphonia","M1s","","628163","Sobble C [M1S 021/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-mega-symphonia-wally%27s-compassion-60","Wally's Compassion #60","Japanese Mega Symphonia","M1s","","628173","Wally&#39;s Compassion U [M1S 060/063](Expansion Pack &#34;Mega Symphonia&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-annihilape-47","Annihilape #47","Japanese Glory of Team Rocket","sv10","","556568","Annihilape R [SV10 047/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-blaziken-20","Blaziken #20","Japanese Glory of Team Rocket","sv10","","556127","Blaziken R [SV10 020/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-cetitan-ex-32","Cetitan ex #32","Japanese Glory of Team Rocket","sv10","","554343","Cetitan ex RR [SV10 032/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-cetoddle-31","Cetoddle #31","Japanese Glory of Team Rocket","sv10","","554342","Cetoddle C [SV10 031/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-combusken-19","Combusken #19","Japanese Glory of Team Rocket","sv10","","556126","Combusken C [SV10 019/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-mankey-45","Mankey #45","Japanese Glory of Team Rocket","sv10","","556566","Mankey C [SV10 045/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-primeape-46","Primeape #46","Japanese Glory of Team Rocket","sv10","","556567","Primeape C [SV10 046/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket-energy-98","Team Rocket Energy #98","Japanese Glory of Team Rocket","sv10","","550924","Team Rocket Energy U [SV10 098/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-ampharos-36","Team Rocket's Ampharos #36","Japanese Glory of Team Rocket","sv10","","553316","Team Rocket&#39;s Ampharos U [SV10 036/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-archer-92","Team Rocket's Archer #92","Japanese Glory of Team Rocket","sv10","","550922","Team Rocket&#39;s Archer U [SV10 092/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-ariana-91","Team Rocket's Ariana #91","Japanese Glory of Team Rocket","sv10","","550921","Team Rocket&#39;s Ariana U [SV10 091/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-flaafy-35","Team Rocket's Flaafy #35","Japanese Glory of Team Rocket","sv10","","553315","Team Rocket&#39;s Flaaffy C [SV10 035/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-giovanni-93","Team Rocket's Giovanni #93","Japanese Glory of Team Rocket","sv10","","550923","Team Rocket&#39;s Giovanni U [SV10 093/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-mareep-34","Team Rocket's Mareep #34","Japanese Glory of Team Rocket","sv10","","553314","Team Rocket&#39;s Mareep C [SV10 034/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-meowth-109","Team Rocket's Meowth #109","Japanese Glory of Team Rocket","sv10","","550925","Team Rocket&#39;s Meowth AR [SV10 109/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-meowth-78","Team Rocket's Meowth #78","Japanese Glory of Team Rocket","sv10","","550915","Team Rocket&#39;s Meowth C [SV10 078/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-mewtwo-ex-39","Team Rocket's Mewtwo ex #39","Japanese Glory of Team Rocket","sv10","","550914","Team Rocket&#39;s Mewtwo ex RR [SV10 039/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-persian-ex-79","Team Rocket's Persian ex #79","Japanese Glory of Team Rocket","sv10","","550916","Team Rocket&#39;s Persian ex RR [SV10 079/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-porygon-81","Team Rocket's Porygon #81","Japanese Glory of Team Rocket","sv10","","550917","Team Rocket&#39;s Porygon C [SV10 081/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-porygon-2-82","Team Rocket's Porygon 2 #82","Japanese Glory of Team Rocket","sv10","","550918","Team Rocket&#39;s Porygon2 C [SV10 082/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-porygon-z-83","Team Rocket's Porygon Z #83","Japanese Glory of Team Rocket","sv10","","550919","Team Rocket&#39;s Porygon-Z U [SV10 083/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-receiver-90","Team Rocket's Receiver #90","Japanese Glory of Team Rocket","sv10","","550920","Team Rocket&#39;s Receiver U [SV10 090/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-spidops-9","Team Rocket's Spidops #9","Japanese Glory of Team Rocket","sv10","","550913","Team Rocket&#39;s Spidops R [SV10 009/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-tarountula-8","Team Rocket's Tarountula #8","Japanese Glory of Team Rocket","sv10","","550912","Team Rocket&#39;s Tarountula C [SV10 008/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-wobbuffet-103","Team Rocket's Wobbuffet #103","Japanese Glory of Team Rocket","sv10","","554341","Team Rocket&#39;s Wobbuffet AR [SV10 103/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-team-rocket%27s-wobbuffet-40","Team Rocket's Wobbuffet #40","Japanese Glory of Team Rocket","sv10","","554340","Team Rocket&#39;s Wobbuffet R [SV10 040/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-torchic-18","Torchic #18","Japanese Glory of Team Rocket","sv10","","556125","Torchic C [SV10 018/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-zamazenta-107","Zamazenta #107","Japanese Glory of Team Rocket","sv10","","555474","Zamazenta AR [SV10 107/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-glory-of-team-rocket-zamazenta-75","Zamazenta #75","Japanese Glory of Team Rocket","sv10","","555473","Zamazenta R [SV10 075/098](Expansion Pack &#34;Glory of Team Rocket&#34;)"
"pc-pokemon-japanese-heat-wave-arena-arven%27s-mabosstiff-ex-81","Arven's Mabosstiff ex #81","Japanese Heat Wave Arena","sv9a","","544396","Arven&#39;s Mabosstiff ex SR [SV9a 081/063](Enhanced Expansion Pack &#34;Hot Wind Arena&#34;)"
"pc-pokemon-japanese-heat-wave-arena-arven%27s-mabosstiff-ex-88","Arven's Mabosstiff ex #88","Japanese Heat Wave Arena","sv9a","","546116","Arven&#39;s Mabosstiff ex SAR [SV9a 088/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-arven%27s-toedscool-47","Arven's Toedscool #47","Japanese Heat Wave Arena","sv9a","","542654","Arven&#39;s Toedscool C [SV9a 047/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-arven%27s-toedscruel-48","Arven's Toedscruel #48","Japanese Heat Wave Arena","sv9a","","542655","Arven&#39;s Toedscruel U [SV9a 048/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-buizel-30","Buizel #30","Japanese Heat Wave Arena","sv9a","","542645","Buizel C [SV9a 030/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-cynthia%27s-feebas-28","Cynthia's Feebas #28","Japanese Heat Wave Arena","sv9a","","542442","Cynthia&#39;s Feebas C [SV9a 028/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-cynthia%27s-garchomp-ex-91","Cynthia's Garchomp ex #91","Japanese Heat Wave Arena","sv9a","","546119","Cynthia&#39;s Garchomp ex UR [SV9a 091/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-cynthia%27s-milotic-29","Cynthia's Milotic #29","Japanese Heat Wave Arena","sv9a","","542443","Cynthia&#39;s Milotic U [SV9a 029/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-dondozo-ex-32","Dondozo ex #32","Japanese Heat Wave Arena","sv9a","","542647","Dondozo ex RR [SV9a 032/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-dondozo-ex-78","Dondozo ex #78","Japanese Heat Wave Arena","sv9a","","546110","Dondozo ex SR [SV9a 078/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-electabuzz-34","Electabuzz #34","Japanese Heat Wave Arena","sv9a","","542648","Electabuzz C [SV9a 034/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-electivire-ex-35","Electivire ex #35","Japanese Heat Wave Arena","sv9a","","542649","Electivire ex RR [SV9a 035/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-electivire-ex-79","Electivire ex #79","Japanese Heat Wave Arena","sv9a","","546111","Electivire ex SR [SV9a 079/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-electrike-37","Electrike #37","Japanese Heat Wave Arena","sv9a","","542650","Electrike C [SV9a 037/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-electrike-73","Electrike #73","Japanese Heat Wave Arena","sv9a","","546107","Electrike AR [SV9a 073/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-emcee%27s-excitement-82","Emcee's Excitement #82","Japanese Heat Wave Arena","sv9a","","546112","Emcee&#39;s Hype SR [SV9a 082/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-ethan%27s-adventure-84","Ethan's Adventure #84","Japanese Heat Wave Arena","sv9a","","546114","Ethan&#39;s Adventure SR [SV9a 084/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-ethan%27s-adventure-89","Ethan's Adventure #89","Japanese Heat Wave Arena","sv9a","","546117","Ethan&#39;s Adventure SAR [SV9a 089/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-ethan%27s-ho-oh-ex-77","Ethan's Ho-Oh ex #77","Japanese Heat Wave Arena","sv9a","","546109","Ethan&#39;s Ho-Oh ex SR [SV9a 077/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-ethan%27s-ho-oh-ex-90","Ethan's Ho-oh ex #90","Japanese Heat Wave Arena","sv9a","","546118","Ethan&#39;s Ho-Oh ex UR [SV9a 090/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-ethan%27s-typhlosion-70","Ethan's Typhlosion #70","Japanese Heat Wave Arena","sv9a","","544501","Ethan&#39;s Typhlosion AR [SV9a 070/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-floatzel-31","Floatzel #31","Japanese Heat Wave Arena","sv9a","","542646","Floatzel U [SV9a 031/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-judge-83","Judge #83","Japanese Heat Wave Arena","sv9a","","546113","Judge SR [SV9a 083/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-levincia-92","Levincia #92","Japanese Heat Wave Arena","sv9a","","546120","Levincia UR [SV9a 092/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-manectric-38","Manectric #38","Japanese Heat Wave Arena","sv9a","","542651","Manectric C [SV9a 038/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-misty%27s-lapras-27","Misty's Lapras #27","Japanese Heat Wave Arena","sv9a","","542644","Misty&#39;s Lapras C [SV9a 027/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-misty%27s-lapras-72","Misty's Lapras #72","Japanese Heat Wave Arena","sv9a","","546106","Misty&#39;s Lapras AR [SV9a 072/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-misty%27s-psyduck-71","Misty's Psyduck #71","Japanese Heat Wave Arena","sv9a","","543243","Misty&#39;s Psyduck AR [SV9a 071/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-mudbray-45","Mudbray #45","Japanese Heat Wave Arena","sv9a","","542652","Mudbray C [SV9a 045/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-mudsdale-46","Mudsdale #46","Japanese Heat Wave Arena","sv9a","","542653","Mudsdale U [SV9a 046/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-pokemon-catcher-59","Pokemon Catcher #59","Japanese Heat Wave Arena","sv9a","","542658","Pokemon Catcher U [SV9a 059/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-catcher-59","Pokemon Catcher #59","Japanese Heat Wave Arena","sv9a","","542658","Pokemon Catcher U [SV9a 059/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-shaymin-66","Shaymin #66","Japanese Heat Wave Arena","sv9a","","546105","Shaymin AR [SV9a 066/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-switch-58","Switch #58","Japanese Heat Wave Arena","sv9a","","542657","Switch U [SV9a 058/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-tauros-53","Tauros #53","Japanese Heat Wave Arena","sv9a","","542656","Tauros C [SV9a 053/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-yanma-2","Yanma #2","Japanese Heat Wave Arena","sv9a","","542642","Yanma C [SV9a 002/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-yanma-64","Yanma #64","Japanese Heat Wave Arena","sv9a","","546104","Yanma AR [SV9a 064/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-yanmega-ex-3","Yanmega ex #3","Japanese Heat Wave Arena","sv9a","","542643","Yanmega ex RR [SV9a 003/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-yanmega-ex-76","Yanmega ex #76","Japanese Heat Wave Arena","sv9a","","546108","Yanmega ex SR [SV9a 076/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-heat-wave-arena-yanmega-ex-85","Yanmega ex #85","Japanese Heat Wave Arena","sv9a","","546115","Yanmega ex SAR [SV9a 085/063](Enhanced Expansion Pack &#34;Hot Wind Arena (Heat Wave Arena)&#34;)"
"pc-pokemon-japanese-best-of-xy-alakazam-ex-40","Alakazam EX #40","Japanese Best of XY","XY","","635082","Ninja Boy [XY 040/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-articuno-17","Articuno #17","Japanese Best of XY","XY","","635060","Spritzee [XY 017/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-crobat-reverse-holo-39","Crobat [Reverse Holo] #39","Japanese Best of XY","XY","","635081","Winona [XY 039/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-crobat-39","Crobat #39","Japanese Best of XY","XY","","635081","Winona [XY 039/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-froakie-24","Froakie #24","Japanese Best of XY","XY","","635067","Puzzle of Time [XY 024/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-glaceon-ex-20","Glaceon EX #20","Japanese Best of XY","XY","","635063","M Rayquaza EX [XY 020/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-golbat-38","Golbat #38","Japanese Best of XY","XY","","635080","Korrina [XY 038/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-greninja-26","Greninja #26","Japanese Best of XY","XY","","635068","VS Seeker [XY 026/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-greninja-27","Greninja #27","Japanese Best of XY","XY","","635069","Max Elixir [XY 027/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-jolteon-reverse-holo-31","Jolteon [Reverse Holo] #31","Japanese Best of XY","XY","","635073","Muscle Band [XY 031/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-jolteon-31","Jolteon #31","Japanese Best of XY","XY","","635073","Muscle Band [XY 031/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-jolteon-ex-32","Jolteon EX #32","Japanese Best of XY","XY","","635074","Fighting Fury Belt [XY 032/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-joltik-36","Joltik #36","Japanese Best of XY","XY","","635078","N [XY 036/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-m-alakazam-ex-41","M Alakazam EX #41","Japanese Best of XY","XY","","635083","Dimension Valley [XY 041/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-m-mewtwo-ex-43","M Mewtwo EX #43","Japanese Best of XY","XY","","635085","Fairy Garden [XY 043/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-manaphy-ex-21","Manaphy EX #21","Japanese Best of XY","XY","","635064","Shaymin EX [XY 021/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-manectric-ex-34","Manectric EX #34","Japanese Best of XY","XY","","635076","Rayquaza Soul Link [XY 034/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-mew-reverse-holo-44","Mew [Reverse Holo] #44","Japanese Best of XY","XY","","635086","Strong Energy [XY 044/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-mew-44","Mew #44","Japanese Best of XY","XY","","635086","Strong Energy [XY 044/048](BW / XY &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-mewtwo-ex-42","Mewtwo EX #42","Japanese Best of XY","XY","","635084","Sky Field [XY 042/048](XY / Sun &amp; Moon &#34;Extra Regulation Box&#34;)"
"pc-pokemon-japanese-best-of-xy-octillery-19","Octillery #19","Japanese Best of XY","XY","","635062","Rayquaza EX [XY 019/048](BW / XY &#34;Extra Regulation Box&#34;)"
